Nome do Produto,Categoria do Produto,Preço do Produto (R$),Quantidade em Estoque,Filial,Data da Venda
Blush em pó,Alimentos,79.77,43,Filial 9,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,79.57,7,Filial 5,Valor Indisponível
Pó compacto,Eletrônicos,66.48,96,Filial 7,Valor Indisponível
Delineador líquido,Eletrodomésticos,52.21,91,Filial 9,Valor Indisponível
Delineador líquido,Alimentos,94.31,6,Filial 1,Valor Indisponível
Máscara de cílios,Eletrônicos,27.27,18,Filial 5,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,95.74,47,Filial 5,Valor Indisponível
Lápis de sobrancelha,Roupas,65.56,12,Filial 10,Valor Indisponível
Batom matte,Eletrônicos,95.86,65,Filial 4,Valor Indisponível
Batom matte,Eletrodomésticos,20.26,81,Filial 6,Valor Indisponível
Batom matte,Eletrodomésticos,98.07,93,Filial 4,Valor Indisponível
Base líquida,Eletrodomésticos,12.53,33,Filial 3,Valor Indisponível
Base líquida,Alimentos,60.77,93,Filial 2,Valor Indisponível
Batom matte,Roupas,59.53,58,Filial 10,Valor Indisponível
Batom matte,Eletrônicos,76.08,94,Filial 3,Valor Indisponível
Sombra de olhos,Roupas,36.39,43,Filial 4,Valor Indisponível
Base líquida,Eletrônicos,1.54,87,Filial 10,Valor Indisponível
Máscara de cílios,Alimentos,39.75,96,Filial 4,Valor Indisponível
Sombra de olhos,Alimentos,9.99,99,Filial 1,Valor Indisponível
Delineador líquido,Alimentos,96.51,66,Filial 2,Valor Indisponível
Base líquida,Alimentos,69.45,36,Filial 10,Valor Indisponível
Sombra de olhos,Alimentos,39.1,39,Filial 1,Valor Indisponível
Máscara de cílios,Alimentos,55.02,79,Filial 1,Valor Indisponível
Lápis de sobrancelha,Roupas,69.05,76,Filial 7,Valor Indisponível
Batom matte,Roupas,1.72,10,Filial 9,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,11.39,54,Filial 1,Valor Indisponível
Sombra de olhos,Eletrodomésticos,17.06,70,Filial 2,Valor Indisponível
Corretivo,Eletrodomésticos,52.6,60,Filial 1,Valor Indisponível
Sombra de olhos,Eletrônicos,74.66,13,Filial 5,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,94.69,99,Filial 8,Valor Indisponível
Batom líquido,Eletrônicos,61.77,98,Filial 3,Valor Indisponível
Pó compacto,Eletrodomésticos,33.22,97,Filial 5,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,38.77,87,Filial 10,Valor Indisponível
Corretivo,Eletrônicos,62.11,88,Filial 8,Valor Indisponível
Máscara de cílios,Eletrodomésticos,83.53,8,Filial 3,Valor Indisponível
Base líquida,Alimentos,31.32,34,Filial 6,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,68.58,54,Filial 1,Valor Indisponível
Base líquida,Eletrônicos,79.1,32,Filial 1,Valor Indisponível
Sombra de olhos,Eletrônicos,14.46,73,Filial 6,Valor Indisponível
Blush em pó,Eletrônicos,8.82,99,Filial 9,Valor Indisponível
Sombra de olhos,Roupas,47.73,19,Filial 1,Valor Indisponível
Batom líquido,Eletrodomésticos,63.44,44,Filial 6,Valor Indisponível
Pó compacto,Eletrodomésticos,5.49,96,Filial 10,Valor Indisponível
Corretivo,Eletrônicos,30.08,79,Filial 6,Valor Indisponível
Base líquida,Eletrodomésticos,54.34,12,Filial 2,Valor Indisponível
Sombra de olhos,Eletrônicos,88.58,77,Filial 1,Valor Indisponível
Máscara de cílios,Roupas,72.0,15,Filial 3,Valor Indisponível
Batom matte,Alimentos,14.4,8,Filial 2,Valor Indisponível
Delineador líquido,Eletrodomésticos,78.21,53,Filial 2,Valor Indisponível
Sombra de olhos,Alimentos,59.59,17,Filial 4,Valor Indisponível
Pó compacto,Roupas,39.89,65,Filial 4,Valor Indisponível
Pó compacto,Alimentos,84.66,53,Filial 1,Valor Indisponível
Pó compacto,Eletrodomésticos,79.78,95,Filial 3,Valor Indisponível
Base líquida,Roupas,27.14,44,Filial 5,Valor Indisponível
Blush em pó,Eletrodomésticos,69.03,52,Filial 10,Valor Indisponível
Batom líquido,Roupas,7.52,88,Filial 10,Valor Indisponível
Corretivo,Eletrodomésticos,67.33,96,Filial 6,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,90.11,34,Filial 9,Valor Indisponível
Corretivo,Roupas,62.56,60,Filial 8,Valor Indisponível
Batom líquido,Roupas,36.59,81,Filial 7,Valor Indisponível
Corretivo,Eletrodomésticos,24.69,60,Filial 2,Valor Indisponível
Corretivo,Alimentos,98.79,46,Filial 7,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,32.23,48,Filial 4,Valor Indisponível
Batom matte,Eletrônicos,69.84,89,Filial 7,Valor Indisponível
Batom matte,Eletrônicos,56.44,16,Filial 2,Valor Indisponível
Batom matte,Roupas,60.82,61,Filial 9,Valor Indisponível
Delineador líquido,Roupas,60.02,47,Filial 9,Valor Indisponível
Lápis de sobrancelha,Alimentos,33.38,6,Filial 10,Valor Indisponível
Base líquida,Eletrodomésticos,89.68,3,Filial 5,Valor Indisponível
Delineador líquido,Eletrodomésticos,43.63,88,Filial 8,Valor Indisponível
Corretivo,Eletrodomésticos,84.1,57,Filial 3,Valor Indisponível
Base líquida,Eletrônicos,88.66,9,Filial 3,Valor Indisponível
Máscara de cílios,Alimentos,54.84,96,Filial 3,Valor Indisponível
Blush em pó,Eletrodomésticos,23.9,66,Filial 9,Valor Indisponível
Máscara de cílios,Eletrodomésticos,96.34,6,Filial 3,Valor Indisponível
Pó compacto,Eletrônicos,94.59,49,Filial 4,Valor Indisponível
Blush em pó,Roupas,40.94,10,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,77.08,20,Filial 1,Valor Indisponível
Delineador líquido,Eletrônicos,91.69,89,Filial 1,Valor Indisponível
Batom líquido,Roupas,80.34,58,Filial 5,Valor Indisponível
Máscara de cílios,Roupas,32.41,84,Filial 10,Valor Indisponível
Máscara de cílios,Alimentos,98.03,3,Filial 7,Valor Indisponível
Delineador líquido,Roupas,16.69,56,Filial 7,Valor Indisponível
Máscara de cílios,Alimentos,84.18,18,Filial 9,Valor Indisponível
Base líquida,Eletrodomésticos,91.33,5,Filial 2,Valor Indisponível
Batom líquido,Eletrodomésticos,40.84,36,Filial 8,Valor Indisponível
Batom matte,Eletrodomésticos,79.01,54,Filial 9,Valor Indisponível
Batom matte,Eletrônicos,87.04,57,Filial 3,Valor Indisponível
Pó compacto,Roupas,31.33,77,Filial 2,Valor Indisponível
Batom matte,Roupas,61.14,25,Filial 8,Valor Indisponível
Pó compacto,Eletrodomésticos,92.27,60,Filial 10,Valor Indisponível
Corretivo,Eletrodomésticos,13.61,53,Filial 5,Valor Indisponível
Máscara de cílios,Alimentos,4.66,52,Filial 7,Valor Indisponível
Batom líquido,Eletrônicos,25.27,53,Filial 1,Valor Indisponível
Sombra de olhos,Eletrodomésticos,81.22,9,Filial 7,Valor Indisponível
Blush em pó,Eletrônicos,35.73,78,Filial 10,Valor Indisponível
Batom matte,Roupas,16.86,51,Filial 7,Valor Indisponível
Sombra de olhos,Eletrônicos,73.19,75,Filial 10,Valor Indisponível
Batom líquido,Roupas,76.96,20,Filial 5,Valor Indisponível
Blush em pó,Alimentos,29.33,21,Filial 5,Valor Indisponível
Batom matte,Eletrodomésticos,62.38,92,Filial 7,Valor Indisponível
Lápis de sobrancelha,Alimentos,57.37,73,Filial 3,Valor Indisponível
Máscara de cílios,Eletrodomésticos,33.18,61,Filial 2,Valor Indisponível
Lápis de sobrancelha,Alimentos,98.24,72,Filial 6,Valor Indisponível
Lápis de sobrancelha,Alimentos,72.55,61,Filial 5,Valor Indisponível
Batom matte,Eletrodomésticos,32.85,35,Filial 6,Valor Indisponível
Batom líquido,Eletrônicos,54.81,80,Filial 8,Valor Indisponível
Sombra de olhos,Roupas,89.06,94,Filial 2,Valor Indisponível
Blush em pó,Roupas,1.95,24,Filial 10,Valor Indisponível
Batom líquido,Alimentos,35.14,13,Filial 1,Valor Indisponível
Lápis de sobrancelha,Alimentos,21.62,3,Filial 4,Valor Indisponível
Delineador líquido,Eletrônicos,66.1,36,Filial 1,Valor Indisponível
Máscara de cílios,Eletrônicos,74.17,27,Filial 2,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,59.94,9,Filial 2,Valor Indisponível
Corretivo,Roupas,61.33,73,Filial 8,Valor Indisponível
Blush em pó,Alimentos,84.17,60,Filial 4,Valor Indisponível
Pó compacto,Eletrônicos,26.6,19,Filial 8,Valor Indisponível
Base líquida,Eletrônicos,44.95,80,Filial 6,Valor Indisponível
Batom líquido,Eletrônicos,16.6,5,Filial 2,Valor Indisponível
Blush em pó,Eletrodomésticos,7.42,33,Filial 7,Valor Indisponível
Batom matte,Eletrodomésticos,75.83,68,Filial 1,Valor Indisponível
Batom líquido,Eletrônicos,43.11,79,Filial 6,Valor Indisponível
Corretivo,Roupas,54.5,25,Filial 7,Valor Indisponível
Blush em pó,Eletrônicos,60.74,85,Filial 10,Valor Indisponível
Batom líquido,Eletrodomésticos,64.1,84,Filial 1,Valor Indisponível
Batom matte,Alimentos,58.91,99,Filial 4,Valor Indisponível
Base líquida,Roupas,88.02,29,Filial 10,Valor Indisponível
Pó compacto,Eletrodomésticos,25.73,19,Filial 5,Valor Indisponível
Delineador líquido,Eletrodomésticos,53.76,6,Filial 3,Valor Indisponível
Delineador líquido,Roupas,76.46,4,Filial 3,Valor Indisponível
Lápis de sobrancelha,Alimentos,93.7,47,Filial 6,Valor Indisponível
Delineador líquido,Alimentos,24.71,62,Filial 9,Valor Indisponível
Batom matte,Eletrônicos,14.8,40,Filial 1,Valor Indisponível
Batom matte,Roupas,73.04,80,Filial 8,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,16.77,24,Filial 5,Valor Indisponível
Batom matte,Eletrônicos,59.08,20,Filial 10,Valor Indisponível
Corretivo,Eletrônicos,90.08,18,Filial 6,Valor Indisponível
Máscara de cílios,Eletrônicos,86.42,10,Filial 2,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,50.72,11,Filial 10,Valor Indisponível
Delineador líquido,Eletrodomésticos,83.09,59,Filial 9,Valor Indisponível
Pó compacto,Roupas,96.24,59,Filial 9,Valor Indisponível
Pó compacto,Eletrônicos,57.31,38,Filial 2,Valor Indisponível
Pó compacto,Eletrônicos,17.96,93,Filial 5,Valor Indisponível
Base líquida,Roupas,45.57,25,Filial 2,Valor Indisponível
Lápis de sobrancelha,Alimentos,2.81,89,Filial 6,Valor Indisponível
Lápis de sobrancelha,Roupas,83.22,4,Filial 4,Valor Indisponível
Pó compacto,Eletrodomésticos,43.95,34,Filial 2,Valor Indisponível
Sombra de olhos,Eletrônicos,92.18,48,Filial 7,Valor Indisponível
Blush em pó,Eletrônicos,63.92,56,Filial 8,Valor Indisponível
Base líquida,Alimentos,30.84,26,Filial 1,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,20.85,6,Filial 1,Valor Indisponível
Pó compacto,Alimentos,7.38,68,Filial 2,Valor Indisponível
Pó compacto,Eletrodomésticos,15.68,26,Filial 7,Valor Indisponível
Sombra de olhos,Roupas,72.01,53,Filial 10,Valor Indisponível
Blush em pó,Alimentos,11.57,7,Filial 6,Valor Indisponível
Batom líquido,Alimentos,30.24,22,Filial 8,Valor Indisponível
Lápis de sobrancelha,Roupas,66.87,52,Filial 7,Valor Indisponível
Batom líquido,Eletrônicos,94.79,82,Filial 4,Valor Indisponível
Batom líquido,Roupas,7.32,44,Filial 4,Valor Indisponível
Sombra de olhos,Roupas,21.71,76,Filial 8,Valor Indisponível
Máscara de cílios,Eletrônicos,77.47,17,Filial 9,Valor Indisponível
Pó compacto,Alimentos,81.89,84,Filial 2,Valor Indisponível
Lápis de sobrancelha,Alimentos,47.96,8,Filial 9,Valor Indisponível
Corretivo,Alimentos,7.61,79,Filial 5,Valor Indisponível
Delineador líquido,Alimentos,71.65,52,Filial 8,Valor Indisponível
Base líquida,Alimentos,72.23,29,Filial 3,Valor Indisponível
Batom matte,Alimentos,68.59,8,Filial 6,Valor Indisponível
Delineador líquido,Roupas,5.32,31,Filial 10,Valor Indisponível
Base líquida,Roupas,25.91,94,Filial 7,Valor Indisponível
Batom matte,Eletrodomésticos,21.79,80,Filial 6,Valor Indisponível
Pó compacto,Eletrônicos,91.76,77,Filial 4,Valor Indisponível
Delineador líquido,Alimentos,7.1,69,Filial 1,Valor Indisponível
Batom líquido,Roupas,12.63,9,Filial 9,Valor Indisponível
Máscara de cílios,Roupas,34.9,37,Filial 2,Valor Indisponível
Corretivo,Alimentos,4.51,33,Filial 6,Valor Indisponível
Base líquida,Alimentos,57.27,59,Filial 10,Valor Indisponível
Batom líquido,Eletrodomésticos,24.71,63,Filial 6,Valor Indisponível
Delineador líquido,Roupas,86.89,21,Filial 3,Valor Indisponível
Batom matte,Roupas,75.06,27,Filial 8,Valor Indisponível
Blush em pó,Roupas,90.02,11,Filial 3,Valor Indisponível
Máscara de cílios,Eletrodomésticos,78.42,17,Filial 4,Valor Indisponível
Batom matte,Roupas,54.24,40,Filial 1,Valor Indisponível
Batom líquido,Eletrodomésticos,53.93,87,Filial 4,Valor Indisponível
Corretivo,Eletrodomésticos,35.49,44,Filial 6,Valor Indisponível
Batom matte,Eletrônicos,78.13,57,Filial 3,Valor Indisponível
Pó compacto,Eletrodomésticos,70.6,14,Filial 3,Valor Indisponível
Batom matte,Eletrônicos,54.23,49,Filial 6,Valor Indisponível
Máscara de cílios,Eletrodomésticos,90.39,51,Filial 2,Valor Indisponível
Sombra de olhos,Roupas,63.23,1,Filial 6,Valor Indisponível
Batom líquido,Eletrodomésticos,12.36,69,Filial 6,Valor Indisponível
Sombra de olhos,Eletrônicos,97.14,22,Filial 3,Valor Indisponível
Batom líquido,Roupas,71.12,82,Filial 10,Valor Indisponível
Delineador líquido,Eletrônicos,30.23,90,Filial 4,Valor Indisponível
Máscara de cílios,Alimentos,16.7,8,Filial 6,Valor Indisponível
Lápis de sobrancelha,Roupas,59.55,21,Filial 8,Valor Indisponível
Sombra de olhos,Roupas,16.73,63,Filial 9,Valor Indisponível
Sombra de olhos,Roupas,30.13,64,Filial 9,Valor Indisponível
Base líquida,Roupas,95.6,93,Filial 10,Valor Indisponível
Pó compacto,Eletrodomésticos,77.67,11,Filial 7,Valor Indisponível
Máscara de cílios,Eletrodomésticos,53.5,2,Filial 6,Valor Indisponível
Pó compacto,Eletrônicos,33.88,24,Filial 10,Valor Indisponível
Máscara de cílios,Eletrodomésticos,81.01,85,Filial 9,Valor Indisponível
Sombra de olhos,Eletrônicos,99.31,74,Filial 1,Valor Indisponível
Pó compacto,Alimentos,24.92,9,Filial 2,Valor Indisponível
Batom líquido,Eletrodomésticos,47.94,100,Filial 10,Valor Indisponível
Delineador líquido,Alimentos,88.01,73,Filial 1,Valor Indisponível
Blush em pó,Eletrodomésticos,13.07,35,Filial 5,Valor Indisponível
Blush em pó,Roupas,28.89,69,Filial 8,Valor Indisponível
Máscara de cílios,Alimentos,91.33,76,Filial 1,Valor Indisponível
Base líquida,Eletrodomésticos,91.39,1,Filial 7,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,11.46,28,Filial 2,Valor Indisponível
Delineador líquido,Alimentos,92.1,37,Filial 3,Valor Indisponível
Delineador líquido,Eletrodomésticos,75.25,30,Filial 10,Valor Indisponível
Máscara de cílios,Eletrodomésticos,6.76,90,Filial 8,Valor Indisponível
Pó compacto,Roupas,55.63,34,Filial 9,Valor Indisponível
Batom líquido,Eletrodomésticos,93.76,6,Filial 10,Valor Indisponível
Batom matte,Eletrônicos,42.37,79,Filial 4,Valor Indisponível
Base líquida,Eletrodomésticos,9.3,70,Filial 9,Valor Indisponível
Máscara de cílios,Eletrodomésticos,72.66,80,Filial 5,Valor Indisponível
Sombra de olhos,Eletrônicos,79.29,43,Filial 7,Valor Indisponível
Pó compacto,Roupas,84.59,41,Filial 2,Valor Indisponível
Máscara de cílios,Eletrônicos,41.25,11,Filial 5,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,74.62,43,Filial 3,Valor Indisponível
Delineador líquido,Roupas,73.53,64,Filial 1,Valor Indisponível
Delineador líquido,Alimentos,80.44,58,Filial 6,Valor Indisponível
Máscara de cílios,Eletrodomésticos,52.5,62,Filial 3,Valor Indisponível
Máscara de cílios,Eletrodomésticos,73.62,9,Filial 3,Valor Indisponível
Sombra de olhos,Eletrônicos,97.28,93,Filial 1,Valor Indisponível
Delineador líquido,Roupas,9.67,45,Filial 6,Valor Indisponível
Corretivo,Eletrônicos,29.5,79,Filial 9,Valor Indisponível
Base líquida,Eletrônicos,98.09,73,Filial 9,Valor Indisponível
Batom matte,Roupas,12.34,6,Filial 8,Valor Indisponível
Batom líquido,Alimentos,70.82,52,Filial 1,Valor Indisponível
Base líquida,Alimentos,45.25,9,Filial 9,Valor Indisponível
Blush em pó,Roupas,20.94,27,Filial 7,Valor Indisponível
Batom matte,Eletrodomésticos,23.3,65,Filial 4,Valor Indisponível
Base líquida,Eletrodomésticos,4.43,48,Filial 10,Valor Indisponível
Delineador líquido,Roupas,3.25,8,Filial 2,Valor Indisponível
Lápis de sobrancelha,Alimentos,22.23,64,Filial 4,Valor Indisponível
Blush em pó,Eletrodomésticos,49.14,56,Filial 9,Valor Indisponível
Batom matte,Eletrodomésticos,70.73,60,Filial 5,Valor Indisponível
Máscara de cílios,Eletrodomésticos,27.84,4,Filial 1,Valor Indisponível
Base líquida,Alimentos,14.54,85,Filial 6,Valor Indisponível
Blush em pó,Eletrodomésticos,94.32,88,Filial 5,Valor Indisponível
Delineador líquido,Eletrônicos,31.31,69,Filial 7,Valor Indisponível
Sombra de olhos,Alimentos,50.42,11,Filial 9,Valor Indisponível
Base líquida,Eletrodomésticos,32.72,4,Filial 8,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,60.7,16,Filial 3,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,56.33,64,Filial 9,Valor Indisponível
Pó compacto,Roupas,29.56,71,Filial 7,Valor Indisponível
Sombra de olhos,Alimentos,61.9,80,Filial 6,Valor Indisponível
Blush em pó,Eletrônicos,58.7,81,Filial 3,Valor Indisponível
Batom líquido,Eletrônicos,83.04,32,Filial 1,Valor Indisponível
Blush em pó,Alimentos,36.19,74,Filial 10,Valor Indisponível
Corretivo,Eletrodomésticos,20.96,64,Filial 10,Valor Indisponível
Máscara de cílios,Eletrodomésticos,81.54,33,Filial 7,Valor Indisponível
Batom líquido,Roupas,79.94,77,Filial 6,Valor Indisponível
Pó compacto,Roupas,21.01,62,Filial 6,Valor Indisponível
Batom líquido,Roupas,99.06,83,Filial 9,Valor Indisponível
Batom matte,Eletrônicos,2.86,24,Filial 9,Valor Indisponível
Pó compacto,Eletrodomésticos,57.69,86,Filial 10,Valor Indisponível
Sombra de olhos,Eletrodomésticos,96.06,55,Filial 10,Valor Indisponível
Sombra de olhos,Alimentos,72.75,40,Filial 6,Valor Indisponível
Blush em pó,Eletrônicos,58.59,98,Filial 2,Valor Indisponível
Corretivo,Eletrônicos,68.26,9,Filial 5,Valor Indisponível
Batom matte,Eletrodomésticos,40.99,21,Filial 4,Valor Indisponível
Máscara de cílios,Alimentos,18.29,74,Filial 9,Valor Indisponível
Máscara de cílios,Roupas,11.54,39,Filial 8,Valor Indisponível
Sombra de olhos,Eletrônicos,49.76,58,Filial 1,Valor Indisponível
Blush em pó,Eletrodomésticos,79.91,94,Filial 3,Valor Indisponível
Pó compacto,Roupas,60.2,75,Filial 6,Valor Indisponível
Máscara de cílios,Alimentos,44.27,10,Filial 8,Valor Indisponível
Base líquida,Roupas,34.27,82,Filial 5,Valor Indisponível
Lápis de sobrancelha,Roupas,80.71,67,Filial 2,Valor Indisponível
Batom matte,Eletrodomésticos,56.92,77,Filial 2,Valor Indisponível
Delineador líquido,Roupas,31.93,69,Filial 7,Valor Indisponível
Máscara de cílios,Alimentos,37.94,91,Filial 7,Valor Indisponível
Sombra de olhos,Eletrônicos,34.0,27,Filial 7,Valor Indisponível
Batom líquido,Alimentos,48.03,48,Filial 7,Valor Indisponível
Pó compacto,Alimentos,57.83,67,Filial 9,Valor Indisponível
Pó compacto,Eletrônicos,62.13,95,Filial 9,Valor Indisponível
Sombra de olhos,Roupas,76.35,91,Filial 8,Valor Indisponível
Sombra de olhos,Alimentos,80.05,38,Filial 8,Valor Indisponível
Pó compacto,Roupas,58.69,8,Filial 5,Valor Indisponível
Delineador líquido,Eletrodomésticos,83.66,59,Filial 4,Valor Indisponível
Corretivo,Eletrônicos,34.39,100,Filial 8,Valor Indisponível
Blush em pó,Eletrônicos,14.21,63,Filial 1,Valor Indisponível
Blush em pó,Roupas,49.56,91,Filial 4,Valor Indisponível
Lápis de sobrancelha,Roupas,78.24,30,Filial 9,Valor Indisponível
Blush em pó,Eletrônicos,28.8,52,Filial 4,Valor Indisponível
Corretivo,Eletrônicos,78.54,41,Filial 6,Valor Indisponível
Base líquida,Alimentos,21.17,60,Filial 5,Valor Indisponível
Lápis de sobrancelha,Alimentos,98.55,87,Filial 9,Valor Indisponível
Corretivo,Roupas,17.88,36,Filial 9,Valor Indisponível
Delineador líquido,Alimentos,90.11,48,Filial 5,Valor Indisponível
Pó compacto,Roupas,44.48,46,Filial 10,Valor Indisponível
Corretivo,Alimentos,16.51,62,Filial 4,Valor Indisponível
Base líquida,Alimentos,11.77,94,Filial 1,Valor Indisponível
Batom matte,Alimentos,21.28,17,Filial 4,Valor Indisponível
Blush em pó,Roupas,50.23,44,Filial 7,Valor Indisponível
Batom líquido,Eletrodomésticos,78.38,27,Filial 3,Valor Indisponível
Base líquida,Alimentos,96.98,81,Filial 9,Valor Indisponível
Máscara de cílios,Eletrodomésticos,94.02,18,Filial 2,Valor Indisponível
Pó compacto,Roupas,13.82,84,Filial 8,Valor Indisponível
Blush em pó,Eletrônicos,54.71,31,Filial 1,Valor Indisponível
Base líquida,Roupas,16.84,28,Filial 9,Valor Indisponível
Blush em pó,Eletrodomésticos,49.52,30,Filial 6,Valor Indisponível
Sombra de olhos,Alimentos,1.82,85,Filial 6,Valor Indisponível
Base líquida,Eletrônicos,87.54,53,Filial 3,Valor Indisponível
Batom líquido,Alimentos,62.75,30,Filial 8,Valor Indisponível
Corretivo,Roupas,40.53,37,Filial 1,Valor Indisponível
Corretivo,Eletrônicos,66.03,38,Filial 1,Valor Indisponível
Sombra de olhos,Alimentos,30.9,85,Filial 2,Valor Indisponível
Sombra de olhos,Alimentos,93.7,25,Filial 2,Valor Indisponível
Batom matte,Eletrônicos,16.74,83,Filial 6,Valor Indisponível
Máscara de cílios,Roupas,60.31,80,Filial 7,Valor Indisponível
Lápis de sobrancelha,Roupas,41.18,96,Filial 5,Valor Indisponível
Blush em pó,Roupas,33.48,41,Filial 1,Valor Indisponível
Delineador líquido,Roupas,92.24,80,Filial 7,Valor Indisponível
Corretivo,Eletrônicos,32.78,1,Filial 6,Valor Indisponível
Batom matte,Roupas,26.54,88,Filial 6,Valor Indisponível
Batom líquido,Roupas,32.29,97,Filial 1,Valor Indisponível
Base líquida,Alimentos,31.38,14,Filial 1,Valor Indisponível
Pó compacto,Roupas,14.42,24,Filial 9,Valor Indisponível
Base líquida,Eletrônicos,23.39,46,Filial 7,Valor Indisponível
Blush em pó,Eletrodomésticos,65.87,68,Filial 4,Valor Indisponível
Batom líquido,Eletrônicos,89.08,35,Filial 5,Valor Indisponível
Blush em pó,Eletrodomésticos,64.68,1,Filial 6,Valor Indisponível
Máscara de cílios,Roupas,86.72,79,Filial 2,Valor Indisponível
Blush em pó,Eletrodomésticos,59.82,91,Filial 6,Valor Indisponível
Sombra de olhos,Alimentos,8.76,26,Filial 6,Valor Indisponível
Delineador líquido,Roupas,84.32,95,Filial 10,Valor Indisponível
Lápis de sobrancelha,Roupas,25.7,43,Filial 6,Valor Indisponível
Lápis de sobrancelha,Alimentos,39.93,81,Filial 6,Valor Indisponível
Máscara de cílios,Eletrônicos,73.88,24,Filial 5,Valor Indisponível
Máscara de cílios,Roupas,11.54,50,Filial 3,Valor Indisponível
Pó compacto,Roupas,38.19,23,Filial 2,Valor Indisponível
Lápis de sobrancelha,Roupas,7.53,95,Filial 9,Valor Indisponível
Máscara de cílios,Roupas,41.23,39,Filial 8,Valor Indisponível
Pó compacto,Eletrodomésticos,63.61,67,Filial 3,Valor Indisponível
Delineador líquido,Eletrodomésticos,77.48,53,Filial 1,Valor Indisponível
Batom líquido,Eletrônicos,83.26,51,Filial 4,Valor Indisponível
Batom líquido,Alimentos,5.28,2,Filial 9,Valor Indisponível
Blush em pó,Eletrônicos,48.99,62,Filial 9,Valor Indisponível
Máscara de cílios,Eletrodomésticos,95.5,77,Filial 7,Valor Indisponível
Lápis de sobrancelha,Alimentos,69.71,85,Filial 9,Valor Indisponível
Sombra de olhos,Eletrônicos,56.48,75,Filial 2,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,37.22,30,Filial 3,Valor Indisponível
Pó compacto,Alimentos,38.99,50,Filial 7,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,93.42,91,Filial 2,Valor Indisponível
Máscara de cílios,Alimentos,32.79,6,Filial 1,Valor Indisponível
Batom líquido,Eletrodomésticos,28.41,43,Filial 10,Valor Indisponível
Batom líquido,Alimentos,64.9,14,Filial 2,Valor Indisponível
Batom matte,Alimentos,50.91,87,Filial 10,Valor Indisponível
Corretivo,Eletrodomésticos,80.05,65,Filial 7,Valor Indisponível
Máscara de cílios,Roupas,37.56,76,Filial 6,Valor Indisponível
Delineador líquido,Roupas,4.43,22,Filial 3,Valor Indisponível
Corretivo,Alimentos,57.22,58,Filial 10,Valor Indisponível
Pó compacto,Eletrônicos,29.39,65,Filial 8,Valor Indisponível
Máscara de cílios,Eletrodomésticos,52.55,40,Filial 4,Valor Indisponível
Corretivo,Eletrônicos,51.19,64,Filial 1,Valor Indisponível
Sombra de olhos,Eletrodomésticos,81.02,57,Filial 2,Valor Indisponível
Delineador líquido,Eletrônicos,21.27,66,Filial 3,Valor Indisponível
Máscara de cílios,Eletrônicos,30.74,92,Filial 10,Valor Indisponível
Pó compacto,Alimentos,18.96,17,Filial 6,Valor Indisponível
Delineador líquido,Eletrônicos,39.2,73,Filial 6,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,20.39,72,Filial 6,Valor Indisponível
Máscara de cílios,Eletrodomésticos,51.51,55,Filial 3,Valor Indisponível
Blush em pó,Eletrodomésticos,74.75,44,Filial 7,Valor Indisponível
Lápis de sobrancelha,Alimentos,87.02,74,Filial 5,Valor Indisponível
Lápis de sobrancelha,Alimentos,41.28,51,Filial 6,Valor Indisponível
Base líquida,Eletrodomésticos,73.01,65,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,6.07,72,Filial 6,Valor Indisponível
Pó compacto,Eletrônicos,15.8,69,Filial 7,Valor Indisponível
Base líquida,Roupas,53.48,76,Filial 5,Valor Indisponível
Batom líquido,Roupas,94.85,53,Filial 6,Valor Indisponível
Base líquida,Alimentos,27.35,95,Filial 9,Valor Indisponível
Batom líquido,Alimentos,21.71,82,Filial 2,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,33.12,43,Filial 4,Valor Indisponível
Delineador líquido,Alimentos,57.82,91,Filial 10,Valor Indisponível
Sombra de olhos,Alimentos,56.38,8,Filial 8,Valor Indisponível
Batom matte,Roupas,6.13,73,Filial 4,Valor Indisponível
Blush em pó,Eletrônicos,1.03,51,Filial 1,Valor Indisponível
Sombra de olhos,Eletrônicos,87.61,64,Filial 4,Valor Indisponível
Lápis de sobrancelha,Alimentos,81.64,85,Filial 7,Valor Indisponível
Batom matte,Roupas,52.88,99,Filial 8,Valor Indisponível
