Nome do Item,Classificação do Produto,Valor em Reais (R$),Quantidade em Estoque,Nome da Loja,Data da Venda
Batom matte,Alimentos,22.2,81,Filial 3,2023-03-25 18:58:06.794203
Delineador líquido,Roupas,40.9,52,Filial 8,2022-11-28 18:58:06.794203
Corretivo,Alimentos,72.22,28,Filial 7,2022-11-25 18:58:06.794203
Máscara de cílios,Eletrônicos,44.23,64,Filial 9,2022-10-19 18:58:06.794203
Batom líquido,Alimentos,4.86,64,Filial 5,2022-09-24 18:58:06.794203
Base líquida,Eletrodomésticos,75.59,34,Filial 9,2023-02-05 18:58:06.794203
Batom matte,Eletrônicos,83.43,49,Filial 3,2022-12-25 18:58:06.794203
Delineador líquido,Roupas,30.89,70,Filial 6,2023-01-14 18:58:06.794203
Lápis de sobrancelha,Eletrodomésticos,19.64,17,Filial 2,2022-09-28 18:58:06.794203
Batom matte,Alimentos,43.18,54,Filial 9,2023-08-12 18:58:06.794203
Batom matte,Alimentos,39.66,33,Filial 3,2022-09-30 18:58:06.794203
Pó compacto,Eletrodomésticos,88.49,85,Filial 1,2023-03-18 18:58:06.794203
Corretivo,Eletrodomésticos,88.18,69,Filial 10,2022-11-06 18:58:06.794203
Base líquida,Alimentos,16.18,11,Filial 3,2022-12-16 18:58:06.794203
Lápis de sobrancelha,Alimentos,80.96,3,Filial 7,2022-10-13 18:58:06.794203
Delineador líquido,Eletrônicos,72.16,21,Filial 6,2023-07-05 18:58:06.794203
Corretivo,Eletrônicos,9.8,84,Filial 4,2023-03-12 18:58:06.794203
Delineador líquido,Eletrodomésticos,60.6,45,Filial 7,2023-07-20 18:58:06.794203
Corretivo,Eletrônicos,2.22,65,Filial 2,2022-10-17 18:58:06.794203
Sombra de olhos,Eletrônicos,2.88,86,Filial 2,2023-02-19 18:58:06.794203
Máscara de cílios,Eletrodomésticos,22.45,85,Filial 1,2023-02-13 18:58:06.794203
Corretivo,Eletrônicos,26.69,6,Filial 8,2022-11-01 18:58:06.794203
Delineador líquido,Roupas,27.13,72,Filial 6,2023-01-04 18:58:06.794203
Sombra de olhos,Eletrônicos,25.29,61,Filial 5,2022-11-29 18:58:06.794203
Batom matte,Roupas,39.46,73,Filial 10,2022-12-23 18:58:06.794203
Lápis de sobrancelha,Roupas,46.31,32,Filial 8,2023-05-05 18:58:06.794203
Blush em pó,Eletrodomésticos,49.24,5,Filial 2,2023-07-13 18:58:06.794203
Corretivo,Alimentos,74.75,96,Filial 6,2023-04-16 18:58:06.794203
Batom líquido,Roupas,1.98,65,Filial 3,2023-08-18 18:58:06.794203
Corretivo,Eletrodomésticos,72.66,87,Filial 8,2023-05-25 18:58:06.794203
Sombra de olhos,Eletrônicos,75.75,77,Filial 6,2022-12-03 18:58:06.794203
Máscara de cílios,Eletrodomésticos,63.53,54,Filial 8,2022-12-21 18:58:06.794203
Base líquida,Eletrônicos,74.64,56,Filial 2,2022-10-27 18:58:06.794203
Lápis de sobrancelha,Alimentos,94.43,72,Filial 3,2022-10-28 18:58:06.794203
Delineador líquido,Eletrodomésticos,86.8,46,Filial 10,2022-11-03 18:58:06.794203
Sombra de olhos,Eletrodomésticos,77.31,42,Filial 8,2023-07-20 18:58:06.794203
Blush em pó,Eletrônicos,73.58,25,Filial 8,2022-11-25 18:58:06.794203
Base líquida,Eletrodomésticos,30.61,82,Filial 2,2023-08-20 18:58:06.794203
Corretivo,Eletrônicos,12.19,34,Filial 1,2023-03-06 18:58:06.794203
Base líquida,Eletrônicos,64.23,47,Filial 4,2023-07-04 18:58:06.794203
Pó compacto,Eletrodomésticos,57.08,82,Filial 9,2023-05-03 18:58:06.794203
Sombra de olhos,Eletrônicos,36.36,81,Filial 10,2023-04-10 18:58:06.794203
Lápis de sobrancelha,Eletrodomésticos,26.0,59,Filial 10,2023-03-31 18:58:06.794203
Batom líquido,Roupas,26.08,99,Filial 8,2023-02-10 18:58:06.794203
Máscara de cílios,Roupas,50.18,97,Filial 2,2022-11-16 18:58:06.794203
Batom matte,Alimentos,5.26,5,Filial 8,2022-11-11 18:58:06.794203
Corretivo,Eletrodomésticos,6.94,40,Filial 7,2023-01-10 18:58:06.794203
Sombra de olhos,Eletrônicos,64.52,27,Filial 8,2022-09-25 18:58:06.794203
Corretivo,Eletrodomésticos,71.91,19,Filial 1,2023-02-16 18:58:06.794203
Delineador líquido,Eletrônicos,76.62,59,Filial 9,2023-07-31 18:58:06.794203
Blush em pó,Eletrônicos,66.91,17,Filial 10,2023-08-03 18:58:06.794203
Blush em pó,Eletrodomésticos,86.82,46,Filial 7,2023-09-01 18:58:06.794203
Lápis de sobrancelha,Eletrônicos,72.63,92,Filial 3,2023-01-07 18:58:06.794203
Batom matte,Roupas,86.66,39,Filial 3,2022-10-05 18:58:06.794203
Blush em pó,Alimentos,89.1,16,Filial 9,2023-04-21 18:58:06.794203
Delineador líquido,Eletrônicos,62.43,49,Filial 8,2022-10-09 18:58:06.794203
Corretivo,Roupas,27.52,23,Filial 4,2022-10-30 18:58:06.794203
Sombra de olhos,Eletrônicos,28.91,28,Filial 8,2023-03-05 18:58:06.794203
Delineador líquido,Alimentos,43.5,1,Filial 5,2023-01-17 18:58:06.794203
Corretivo,Roupas,62.78,78,Filial 2,2022-09-13 18:58:06.794203
Sombra de olhos,Eletrônicos,80.77,14,Filial 9,2022-09-07 18:58:06.794203
Corretivo,Alimentos,90.59,45,Filial 7,2023-01-28 18:58:06.794203
Base líquida,Eletrônicos,98.94,52,Filial 9,2023-03-03 18:58:06.794203
Blush em pó,Eletrodomésticos,71.21,65,Filial 3,2022-09-11 18:58:06.794203
Blush em pó,Roupas,5.13,80,Filial 4,2023-01-16 18:58:06.794203
Pó compacto,Alimentos,35.33,3,Filial 3,2023-01-15 18:58:06.794203
Corretivo,Eletrodomésticos,29.54,87,Filial 4,2023-03-13 18:58:06.794203
Batom líquido,Eletrodomésticos,20.61,57,Filial 4,2023-04-18 18:58:06.794203
Batom matte,Eletrodomésticos,35.89,11,Filial 3,2022-09-09 18:58:06.794203
Delineador líquido,Eletrônicos,19.57,22,Filial 10,2022-09-14 18:58:06.794203
Corretivo,Alimentos,67.64,89,Filial 3,2022-10-10 18:58:06.794203
Pó compacto,Roupas,66.81,18,Filial 10,2022-12-24 18:58:06.794203
Corretivo,Alimentos,74.36,12,Filial 2,2023-06-04 18:58:06.794203
Base líquida,Eletrodomésticos,87.39,4,Filial 10,2023-03-10 18:58:06.794203
Base líquida,Eletrodomésticos,17.55,60,Filial 2,2023-06-28 18:58:06.794203
Base líquida,Eletrodomésticos,83.12,59,Filial 5,2023-07-29 18:58:06.794203
Pó compacto,Roupas,8.31,72,Filial 3,2023-06-18 18:58:06.794203
Corretivo,Alimentos,57.22,26,Filial 7,2022-11-12 18:58:06.794203
Blush em pó,Eletrônicos,29.2,79,Filial 9,2022-09-14 18:58:06.794203
Delineador líquido,Eletrodomésticos,22.17,9,Filial 2,2023-08-12 18:58:06.794203
Batom líquido,Alimentos,99.56,7,Filial 2,2022-09-21 18:58:06.794203
Corretivo,Roupas,20.15,81,Filial 9,2023-01-24 18:58:06.794203
Corretivo,Eletrônicos,20.07,59,Filial 8,2023-01-16 18:58:06.794203
Batom líquido,Roupas,88.01,53,Filial 8,2022-12-15 18:58:06.794203
Lápis de sobrancelha,Eletrodomésticos,85.03,47,Filial 9,2023-05-08 18:58:06.794203
Sombra de olhos,Eletrodomésticos,64.8,63,Filial 3,2022-09-11 18:58:06.794203
Batom líquido,Alimentos,72.94,21,Filial 7,2023-02-26 18:58:06.794203
Batom matte,Roupas,61.17,6,Filial 9,2023-01-21 18:58:06.794203
Pó compacto,Roupas,83.13,84,Filial 1,2023-03-11 18:58:06.794203
Batom matte,Eletrodomésticos,59.33,80,Filial 2,2023-06-12 18:58:06.794203
Máscara de cílios,Eletrônicos,47.08,99,Filial 8,2023-03-17 18:58:06.794203
Batom líquido,Eletrônicos,81.8,51,Filial 3,2023-01-14 18:58:06.794203
Batom matte,Roupas,30.33,97,Filial 9,2023-05-06 18:58:06.794203
Base líquida,Eletrônicos,81.95,76,Filial 8,2022-09-30 18:58:06.794203
Base líquida,Eletrodomésticos,66.26,51,Filial 6,2023-03-26 18:58:06.794203
Lápis de sobrancelha,Eletrodomésticos,58.96,93,Filial 2,2023-07-13 18:58:06.794203
Delineador líquido,Roupas,62.56,73,Filial 3,2022-12-08 18:58:06.794203
Corretivo,Eletrodomésticos,31.3,84,Filial 1,2023-04-24 18:58:06.794203
Base líquida,Eletrônicos,63.49,44,Filial 2,2022-11-18 18:58:06.794203
Batom matte,Eletrodomésticos,62.98,91,Filial 2,2023-08-02 18:58:06.794203
Lápis de sobrancelha,Roupas,15.29,54,Filial 2,2023-07-26 18:58:06.794203
Base líquida,Eletrodomésticos,75.65,90,Filial 5,2023-08-07 18:58:06.794203
Lápis de sobrancelha,Eletrônicos,54.14,91,Filial 8,2022-12-01 18:58:06.794203
Blush em pó,Alimentos,47.9,64,Filial 10,2022-12-13 18:58:06.794203
Batom líquido,Eletrodomésticos,63.79,20,Filial 5,2023-05-24 18:58:06.794203
Batom líquido,Alimentos,33.87,71,Filial 2,2023-04-30 18:58:06.794203
Delineador líquido,Alimentos,93.14,33,Filial 10,2023-03-23 18:58:06.794203
Pó compacto,Roupas,83.54,95,Filial 9,2022-10-29 18:58:06.794203
Máscara de cílios,Alimentos,4.25,45,Filial 6,2023-02-24 18:58:06.794203
Delineador líquido,Roupas,89.16,77,Filial 4,2022-09-26 18:58:06.794203
Batom líquido,Roupas,91.95,66,Filial 6,2023-05-07 18:58:06.794203
Batom matte,Eletrodomésticos,43.87,49,Filial 4,2022-12-19 18:58:06.794203
Batom líquido,Eletrodomésticos,94.1,79,Filial 4,2023-08-10 18:58:06.794203
Blush em pó,Eletrodomésticos,38.33,65,Filial 6,2023-05-14 18:58:06.794203
Delineador líquido,Alimentos,38.07,35,Filial 4,2023-05-09 18:58:06.794203
Sombra de olhos,Eletrônicos,33.08,96,Filial 9,2023-04-10 18:58:06.794203
Delineador líquido,Alimentos,46.05,50,Filial 3,2023-08-07 18:58:06.794203
Corretivo,Roupas,31.66,90,Filial 4,2023-02-08 18:58:06.794203
Delineador líquido,Alimentos,51.39,26,Filial 7,2022-12-25 18:58:06.794203
Sombra de olhos,Roupas,4.27,10,Filial 7,2023-08-02 18:58:06.794203
Delineador líquido,Alimentos,1.1,41,Filial 1,2023-04-26 18:58:06.794203
Sombra de olhos,Eletrônicos,75.17,25,Filial 1,2022-09-05 18:58:06.794203
Corretivo,Alimentos,61.16,17,Filial 2,2023-06-09 18:58:06.794203
Corretivo,Alimentos,71.95,86,Filial 8,2023-02-05 18:58:06.794203
Lápis de sobrancelha,Roupas,70.98,30,Filial 6,2023-07-30 18:58:06.794203
Delineador líquido,Eletrodomésticos,81.92,45,Filial 6,2023-06-23 18:58:06.794203
Máscara de cílios,Eletrônicos,64.94,16,Filial 2,2023-08-21 18:58:06.794203
Pó compacto,Eletrônicos,96.63,85,Filial 6,2023-03-16 18:58:06.794203
Sombra de olhos,Eletrodomésticos,90.78,5,Filial 2,2023-08-17 18:58:06.794203
Corretivo,Eletrônicos,75.68,7,Filial 3,2023-03-01 18:58:06.794203
Lápis de sobrancelha,Roupas,23.49,95,Filial 7,2023-04-07 18:58:06.794203
Corretivo,Eletrodomésticos,68.12,64,Filial 3,2023-01-19 18:58:06.794203
Lápis de sobrancelha,Alimentos,63.78,18,Filial 5,2023-06-26 18:58:06.794203
Delineador líquido,Roupas,20.74,17,Filial 7,2022-12-23 18:58:06.794203
Delineador líquido,Eletrônicos,62.72,75,Filial 2,2023-01-14 18:58:06.794203
Lápis de sobrancelha,Alimentos,34.47,81,Filial 8,2023-01-24 18:58:06.794203
Corretivo,Eletrônicos,18.34,63,Filial 5,2023-08-13 18:58:06.794203
Sombra de olhos,Eletrodomésticos,83.76,36,Filial 4,2022-11-11 18:58:06.794203
Batom matte,Roupas,93.95,79,Filial 1,2023-07-26 18:58:06.794203
Sombra de olhos,Alimentos,19.39,46,Filial 7,2022-12-22 18:58:06.794203
Delineador líquido,Eletrônicos,84.22,41,Filial 10,2023-06-11 18:58:06.794203
Corretivo,Roupas,66.5,17,Filial 3,2022-10-26 18:58:06.794203
Base líquida,Alimentos,47.63,100,Filial 5,2023-01-25 18:58:06.794203
Sombra de olhos,Roupas,6.65,83,Filial 10,2023-01-11 18:58:06.794203
Base líquida,Roupas,87.09,89,Filial 7,2023-03-26 18:58:06.794203
Pó compacto,Eletrodomésticos,37.46,44,Filial 2,2023-02-25 18:58:06.794203
Blush em pó,Roupas,59.93,40,Filial 5,2023-06-20 18:58:06.794203
Máscara de cílios,Roupas,40.98,90,Filial 7,2023-02-22 18:58:06.794203
Blush em pó,Alimentos,71.59,14,Filial 8,2023-01-05 18:58:06.794203
Pó compacto,Eletrônicos,97.19,99,Filial 6,2023-06-06 18:58:06.794203
Corretivo,Eletrodomésticos,51.33,87,Filial 3,2023-02-24 18:58:06.794203
Lápis de sobrancelha,Roupas,57.41,98,Filial 3,2023-04-30 18:58:06.794203
Máscara de cílios,Eletrônicos,49.93,96,Filial 9,2023-01-16 18:58:06.794203
Corretivo,Roupas,3.99,53,Filial 5,2023-04-18 18:58:06.794203
Máscara de cílios,Alimentos,31.1,92,Filial 5,2022-10-25 18:58:06.794203
Corretivo,Eletrodomésticos,75.86,31,Filial 8,2023-08-09 18:58:06.794203
Base líquida,Eletrônicos,17.35,48,Filial 1,2023-01-26 18:58:06.794203
Batom líquido,Roupas,89.32,91,Filial 7,2023-07-06 18:58:06.794203
Blush em pó,Alimentos,87.78,10,Filial 2,2022-09-14 18:58:06.794203
Delineador líquido,Roupas,78.55,41,Filial 9,2022-11-15 18:58:06.794203
Batom matte,Roupas,61.94,71,Filial 8,2023-02-02 18:58:06.794203
Base líquida,Alimentos,52.83,79,Filial 10,2023-01-06 18:58:06.794203
Sombra de olhos,Alimentos,79.92,16,Filial 4,2023-01-23 18:58:06.794203
Sombra de olhos,Eletrodomésticos,87.65,94,Filial 6,2023-09-03 18:58:06.794203
Base líquida,Eletrodomésticos,44.44,24,Filial 1,2023-08-18 18:58:06.794203
Máscara de cílios,Eletrodomésticos,28.81,30,Filial 10,2023-08-11 18:58:06.794203
Corretivo,Eletrônicos,78.09,49,Filial 4,2022-09-17 18:58:06.794203
Delineador líquido,Roupas,15.52,94,Filial 1,2023-04-12 18:58:06.794203
Pó compacto,Eletrodomésticos,16.37,64,Filial 10,2022-10-08 18:58:06.794203
Lápis de sobrancelha,Eletrodomésticos,49.12,46,Filial 7,2022-10-24 18:58:06.794203
Sombra de olhos,Eletrodomésticos,57.61,26,Filial 9,2022-09-16 18:58:06.794203
Delineador líquido,Alimentos,39.97,2,Filial 6,2023-05-24 18:58:06.794203
Corretivo,Eletrodomésticos,31.46,47,Filial 5,2023-05-25 18:58:06.794203
Corretivo,Roupas,79.66,36,Filial 5,2022-09-26 18:58:06.794203
Máscara de cílios,Eletrônicos,22.24,72,Filial 3,2023-03-17 18:58:06.794203
Delineador líquido,Alimentos,51.11,42,Filial 6,2022-09-11 18:58:06.794203
Batom líquido,Eletrônicos,32.45,77,Filial 1,2022-11-11 18:58:06.794203
Sombra de olhos,Eletrodomésticos,63.07,55,Filial 3,2023-03-30 18:58:06.794203
Corretivo,Eletrodomésticos,45.15,51,Filial 1,2022-10-14 18:58:06.794203
Lápis de sobrancelha,Alimentos,86.19,44,Filial 2,2023-05-13 18:58:06.794203
Lápis de sobrancelha,Alimentos,58.33,40,Filial 3,2022-10-07 18:58:06.794203
Sombra de olhos,Alimentos,66.11,42,Filial 8,2023-04-21 18:58:06.794203
Blush em pó,Alimentos,53.36,63,Filial 1,2022-11-22 18:58:06.794203
Corretivo,Eletrodomésticos,2.79,94,Filial 8,2023-02-18 18:58:06.794203
Pó compacto,Alimentos,28.01,7,Filial 7,2023-08-29 18:58:06.794203
Blush em pó,Eletrodomésticos,74.51,97,Filial 3,2022-09-27 18:58:06.794203
Delineador líquido,Eletrodomésticos,54.33,17,Filial 10,2023-01-30 18:58:06.794203
Corretivo,Roupas,69.08,41,Filial 7,2023-07-13 18:58:06.794203
Corretivo,Eletrodomésticos,73.43,73,Filial 1,2023-07-16 18:58:06.794203
Pó compacto,Eletrodomésticos,61.27,44,Filial 2,2022-12-13 18:58:06.794203
Corretivo,Eletrônicos,86.61,93,Filial 7,2022-12-17 18:58:06.794203
Máscara de cílios,Eletrodomésticos,2.01,95,Filial 6,2022-10-28 18:58:06.794203
Blush em pó,Alimentos,90.97,31,Filial 8,2023-08-17 18:58:06.794203
Sombra de olhos,Alimentos,22.93,87,Filial 9,2023-02-22 18:58:06.794203
Delineador líquido,Roupas,85.51,58,Filial 4,2023-03-19 18:58:06.794203
Pó compacto,Eletrodomésticos,54.44,53,Filial 9,2022-09-23 18:58:06.794203
Máscara de cílios,Eletrônicos,64.94,25,Filial 1,2023-05-23 18:58:06.794203
Sombra de olhos,Alimentos,98.86,21,Filial 1,2023-06-08 18:58:06.794203
Batom líquido,Eletrodomésticos,68.02,87,Filial 2,2022-11-11 18:58:06.794203
Batom matte,Eletrônicos,23.15,12,Filial 6,2023-01-04 18:58:06.794203
Corretivo,Roupas,73.2,26,Filial 8,2023-04-23 18:58:06.794203
Lápis de sobrancelha,Roupas,19.79,70,Filial 5,2023-05-21 18:58:06.794203
Delineador líquido,Eletrodomésticos,2.08,89,Filial 5,2023-06-22 18:58:06.794203
Corretivo,Roupas,81.19,80,Filial 5,2023-02-21 18:58:06.794203
Pó compacto,Eletrodomésticos,36.48,3,Filial 1,2023-08-18 18:58:06.794203
Pó compacto,Roupas,9.92,59,Filial 10,2023-02-20 18:58:06.794203
Pó compacto,Roupas,86.1,60,Filial 9,2023-08-27 18:58:06.794203
Batom líquido,Eletrodomésticos,71.77,88,Filial 10,2023-03-14 18:58:06.794203
Pó compacto,Eletrônicos,92.18,90,Filial 7,2022-12-06 18:58:06.794203
Máscara de cílios,Eletrodomésticos,76.8,69,Filial 2,2022-09-22 18:58:06.794203
Blush em pó,Roupas,6.89,73,Filial 1,2023-02-03 18:58:06.794203
Corretivo,Eletrônicos,46.76,16,Filial 7,2023-02-09 18:58:06.794203
Base líquida,Eletrodomésticos,14.43,42,Filial 10,2023-03-05 18:58:06.794203
Máscara de cílios,Roupas,16.04,6,Filial 6,2022-09-25 18:58:06.794203
Lápis de sobrancelha,Roupas,4.73,81,Filial 2,2023-02-16 18:58:06.794203
Máscara de cílios,Eletrônicos,16.46,79,Filial 6,2023-03-29 18:58:06.794203
Máscara de cílios,Roupas,50.1,23,Filial 1,2022-12-01 18:58:06.794203
Lápis de sobrancelha,Alimentos,95.39,25,Filial 1,2023-01-16 18:58:06.794203
Lápis de sobrancelha,Roupas,20.31,88,Filial 2,2023-03-24 18:58:06.794203
Batom líquido,Alimentos,56.91,84,Filial 2,2022-09-19 18:58:06.794203
Corretivo,Eletrônicos,46.1,59,Filial 8,2023-06-17 18:58:06.794203
Blush em pó,Roupas,36.1,98,Filial 3,2023-06-16 18:58:06.794203
Delineador líquido,Eletrônicos,65.98,10,Filial 10,2023-08-28 18:58:06.794203
Pó compacto,Roupas,41.78,53,Filial 1,2023-03-02 18:58:06.794203
Corretivo,Alimentos,61.42,9,Filial 9,2023-08-11 18:58:06.794203
Máscara de cílios,Eletrodomésticos,94.96,100,Filial 1,2023-03-18 18:58:06.794203
Lápis de sobrancelha,Alimentos,50.23,44,Filial 9,2022-10-12 18:58:06.794203
Batom matte,Roupas,2.55,78,Filial 10,2022-12-14 18:58:06.794203
Blush em pó,Eletrodomésticos,51.46,46,Filial 2,2023-06-27 18:58:06.794203
Máscara de cílios,Eletrônicos,35.45,41,Filial 8,2022-09-28 18:58:06.794203
Blush em pó,Alimentos,67.79,12,Filial 2,2023-03-10 18:58:06.794203
Máscara de cílios,Eletrodomésticos,67.37,62,Filial 2,2023-01-05 18:58:06.794203
Pó compacto,Eletrodomésticos,24.99,32,Filial 3,2023-03-27 18:58:06.794203
Corretivo,Roupas,12.45,96,Filial 2,2022-10-24 18:58:06.794203
Delineador líquido,Eletrônicos,11.64,93,Filial 1,2023-09-01 18:58:06.794203
Lápis de sobrancelha,Alimentos,68.05,30,Filial 8,2023-06-10 18:58:06.794203
Blush em pó,Roupas,24.45,46,Filial 10,2023-03-23 18:58:06.794203
Delineador líquido,Alimentos,77.5,65,Filial 9,2022-11-29 18:58:06.794203
Base líquida,Eletrônicos,46.5,8,Filial 8,2023-05-17 18:58:06.794203
Máscara de cílios,Eletrodomésticos,63.24,88,Filial 7,2023-04-04 18:58:06.794203
Batom matte,Alimentos,77.11,2,Filial 4,2022-11-12 18:58:06.794203
Delineador líquido,Alimentos,45.46,77,Filial 10,2022-11-07 18:58:06.794203
Blush em pó,Roupas,88.83,53,Filial 2,2023-04-16 18:58:06.794203
Batom matte,Eletrodomésticos,12.6,31,Filial 4,2022-10-19 18:58:06.794203
Pó compacto,Eletrodomésticos,8.71,82,Filial 9,2023-02-01 18:58:06.794203
Sombra de olhos,Alimentos,48.64,54,Filial 6,2022-09-26 18:58:06.794203
Lápis de sobrancelha,Alimentos,40.79,2,Filial 4,2022-11-13 18:58:06.794203
Delineador líquido,Eletrônicos,10.01,61,Filial 6,2022-10-10 18:58:06.794203
Base líquida,Eletrônicos,5.63,24,Filial 9,2022-10-11 18:58:06.794203
Base líquida,Eletrodomésticos,52.34,74,Filial 5,2022-11-23 18:58:06.794203
Blush em pó,Eletrodomésticos,88.0,55,Filial 7,2023-05-24 18:58:06.794203
Pó compacto,Eletrodomésticos,69.87,60,Filial 8,2022-10-22 18:58:06.794203
Pó compacto,Roupas,90.62,7,Filial 8,2023-07-18 18:58:06.794203
Máscara de cílios,Eletrônicos,35.6,37,Filial 9,2023-04-16 18:58:06.794203
Batom matte,Roupas,15.12,21,Filial 2,2022-10-09 18:58:06.794203
Blush em pó,Roupas,48.77,37,Filial 1,2023-06-08 18:58:06.794203
Batom matte,Eletrodomésticos,40.46,94,Filial 8,2023-05-09 18:58:06.794203
Pó compacto,Eletrodomésticos,51.35,22,Filial 1,2023-06-10 18:58:06.794203
Lápis de sobrancelha,Alimentos,86.43,66,Filial 8,2023-03-15 18:58:06.794203
Pó compacto,Eletrônicos,11.05,65,Filial 2,2022-11-21 18:58:06.794203
Máscara de cílios,Roupas,54.19,71,Filial 8,2023-03-23 18:58:06.794203
Sombra de olhos,Eletrônicos,61.75,19,Filial 5,2022-11-03 18:58:06.794203
Corretivo,Alimentos,20.25,63,Filial 4,2023-01-01 18:58:06.794203
Lápis de sobrancelha,Eletrodomésticos,21.43,2,Filial 9,2022-09-19 18:58:06.794203
Máscara de cílios,Eletrodomésticos,1.37,65,Filial 6,2023-02-06 18:58:06.794203
Pó compacto,Eletrodomésticos,80.89,12,Filial 8,2022-11-08 18:58:06.794203
Corretivo,Alimentos,47.4,29,Filial 5,2023-03-15 18:58:06.794203
Blush em pó,Alimentos,13.95,19,Filial 3,2023-04-26 18:58:06.794203
Blush em pó,Eletrodomésticos,13.56,41,Filial 4,2023-08-03 18:58:06.794203
Pó compacto,Eletrônicos,88.98,50,Filial 5,2023-06-30 18:58:06.794203
Sombra de olhos,Eletrônicos,60.1,94,Filial 7,2023-06-24 18:58:06.794203
Blush em pó,Alimentos,24.08,22,Filial 10,2023-03-04 18:58:06.794203
Batom matte,Eletrônicos,74.22,91,Filial 8,2023-02-23 18:58:06.794203
Sombra de olhos,Alimentos,36.59,89,Filial 6,2023-08-07 18:58:06.794203
Pó compacto,Roupas,23.62,95,Filial 10,2023-08-25 18:58:06.794203
Máscara de cílios,Eletrodomésticos,39.3,47,Filial 9,2023-08-21 18:58:06.794203
Blush em pó,Eletrodomésticos,95.99,1,Filial 10,2023-07-01 18:58:06.794203
Lápis de sobrancelha,Eletrônicos,10.15,56,Filial 1,2023-07-29 18:58:06.794203
Corretivo,Roupas,30.49,70,Filial 9,2023-01-06 18:58:06.794203
Pó compacto,Eletrônicos,73.86,67,Filial 8,2022-11-06 18:58:06.794203
Batom líquido,Roupas,99.98,55,Filial 3,2023-01-05 18:58:06.794203
Sombra de olhos,Eletrônicos,93.01,89,Filial 2,2023-01-12 18:58:06.794203
Blush em pó,Eletrônicos,28.66,15,Filial 3,2023-05-31 18:58:06.794203
Sombra de olhos,Roupas,82.34,84,Filial 2,2023-06-17 18:58:06.794203
Batom matte,Roupas,32.73,17,Filial 3,2022-10-12 18:58:06.794203
Máscara de cílios,Alimentos,19.02,11,Filial 4,2023-06-06 18:58:06.794203
Blush em pó,Eletrônicos,40.96,35,Filial 3,2023-07-01 18:58:06.794203
Corretivo,Eletrônicos,93.15,14,Filial 2,2022-10-24 18:58:06.794203
Delineador líquido,Eletrônicos,49.45,100,Filial 4,2023-07-12 18:58:06.794203
Sombra de olhos,Eletrônicos,7.58,6,Filial 10,2023-06-02 18:58:06.794203
Blush em pó,Eletrodomésticos,95.55,70,Filial 7,2023-02-19 18:58:06.794203
Blush em pó,Alimentos,70.3,43,Filial 9,2022-10-18 18:58:06.794203
Sombra de olhos,Eletrônicos,38.95,83,Filial 4,2023-04-03 18:58:06.794203
Lápis de sobrancelha,Alimentos,98.95,84,Filial 10,2023-02-26 18:58:06.794203
Blush em pó,Roupas,53.66,65,Filial 4,2023-03-10 18:58:06.794203
Batom matte,Roupas,33.25,21,Filial 2,2023-06-27 18:58:06.794203
Delineador líquido,Eletrodomésticos,41.68,28,Filial 1,2023-05-16 18:58:06.794203
Sombra de olhos,Roupas,93.5,15,Filial 4,2023-07-02 18:58:06.794203
Sombra de olhos,Roupas,91.04,3,Filial 5,2023-05-18 18:58:06.794203
Batom líquido,Roupas,30.91,90,Filial 4,2023-06-08 18:58:06.794203
Batom líquido,Eletrônicos,74.59,71,Filial 8,2023-03-05 18:58:06.794203
Batom matte,Eletrodomésticos,36.81,49,Filial 9,2023-03-08 18:58:06.794203
Lápis de sobrancelha,Eletrodomésticos,22.21,72,Filial 10,2023-08-27 18:58:06.794203
Lápis de sobrancelha,Alimentos,33.91,73,Filial 8,2023-04-19 18:58:06.794203
Máscara de cílios,Roupas,38.98,86,Filial 1,2022-10-05 18:58:06.794203
Base líquida,Eletrodomésticos,16.73,98,Filial 3,2023-06-07 18:58:06.794203
Batom matte,Roupas,84.93,90,Filial 10,2023-03-08 18:58:06.794203
Lápis de sobrancelha,Alimentos,94.6,45,Filial 1,2023-06-14 18:58:06.794203
Corretivo,Roupas,86.62,50,Filial 3,2023-03-01 18:58:06.794203
Base líquida,Alimentos,21.16,87,Filial 5,2023-05-09 18:58:06.794203
Corretivo,Roupas,93.86,1,Filial 4,2023-06-12 18:58:06.794203
Blush em pó,Eletrodomésticos,79.08,2,Filial 4,2023-05-05 18:58:06.794203
Blush em pó,Roupas,4.95,33,Filial 3,2022-09-05 18:58:06.794203
Blush em pó,Eletrodomésticos,5.59,77,Filial 2,2023-01-13 18:58:06.794203
Base líquida,Roupas,84.94,39,Filial 8,2022-09-17 18:58:06.794203
Batom líquido,Eletrônicos,39.67,17,Filial 8,2023-05-07 18:58:06.794203
Base líquida,Eletrônicos,86.0,98,Filial 6,2023-02-13 18:58:06.794203
Pó compacto,Roupas,94.3,87,Filial 2,2023-05-15 18:58:06.794203
Pó compacto,Roupas,30.49,70,Filial 2,2023-05-14 18:58:06.794203
Lápis de sobrancelha,Eletrônicos,65.81,3,Filial 1,2023-06-27 18:58:06.794203
Pó compacto,Roupas,86.27,90,Filial 7,2023-03-26 18:58:06.794203
Base líquida,Eletrodomésticos,12.06,5,Filial 3,2023-03-06 18:58:06.794203
Sombra de olhos,Alimentos,99.85,15,Filial 5,2022-10-07 18:58:06.794203
